mp-2894,7.09
mp-3161,5.9
mp-3432,13.91
mp-3462,4.61
mp-3522,3.68
mp-3716,9.06
mp-4025,9.85
mp-4174,9.69
mp-4262,18.71
mp-4510,9.46
mp-4964,3.23
mp-5177,4.72
mp-5640,4.53
mp-5920,5.08
mp-5967,22.13
mp-7173,7.67
mp-7575,17.39
mp-9124,13.89
mp-9437,23.43
mp-10194,6.42
mp-10687,20.07
mp-11242,3.35
mp-11520,9.03
mp-11836,7.65
mp-11839,3.34
mp-11869,13.99
mp-12558,20.18
mp-13308,4.34
mp-16313,3.82
mp-16314,5.86
mp-16327,4.43
mp-16329,5.41
mp-16376,4.95
mp-19886,4.15
mp-20185,9.97
mp-924129,19.05
mp-924130,17.54
mp-961646,12.96
mp-961649,20.0
mp-961653,6.21
mp-961657,2.37
mp-961659,25.31
mp-961660,27.6
mp-961661,18.35
mp-961665,3.88
mp-961673,20.3
mp-961675,8.87
mp-961678,12.7
mp-961682,11.03
mp-961684,20.16
mp-961685,7.57
mp-961687,14.04
mp-961693,9.42
mp-961697,12.52
mp-961698,9.72
mp-961706,34.51
mp-961711,14.11
mp-961713,13.23
mp-961774,2.17
mp-962063,6.26
mp-962068,4.19
mp-962069,3.38
mp-962078,3.39
mp-1008624,4.24
mp-1008680,19.4
mp-1008858,4.59
mp-1009006,16.44
mp-1009132,6.78
mp-1009543,6.93
mp-1018118,7.66
mp-1018135,16.49
mp-1018139,9.44
mp-20269,2.33
mp-20415,3.18
mp-20514,3.73
mp-20952,3.64
mp-21272,9.68
mp-21425,5.36
mp-22786,7.15
mp-30377,3.51
mp-30389,3.43
mp-30390,4.46
mp-30413,3.26
mp-30453,6.23
mp-30454,6.35
mp-30455,6.46
mp-30457,9.83
mp-30459,9.06
mp-30460,5.91
mp-30847,11.18
mp-30848,5.41
mp-31451,17.68
mp-31454,16.23
mp-31455,6.9
mp-31457,3.36
mp-36111,19.94
mp-505297,15.65
mp-567418,7.72
mp-567422,8.12
mp-567636,14.2
mp-568269,9.36
mp-569197,8.38
mp-569779,11.07
mp-570213,15.77
mp-620271,5.54
mp-621592,3.28
mp-924128,16.44
mp-1076916,6.8
mp-1093991,10.43
mp-1094088,18.62
mp-1100391,3.62
mp-1100392,11.09
mp-1100393,2.72
mp-1100403,2.88
mp-1100404,5.04
mp-1100409,26.07
mp-1100411,3.02
mp-1100412,14.54
mp-1100420,5.45
mp-1100424,14.63
mp-1100425,3.51
mp-1100429,3.66
mp-1100430,4.81
mp-1100433,2.46
mp-1100436,3.61
mp-1206667,4.47
mp-1206679,4.61
mp-1206681,5.85
mp-1206686,8.57
mp-1206712,9.68
mp-1206717,4.35
mp-1206719,5.25
mp-1206720,4.19
mp-1206744,6.28
mp-1206953,6.53
mp-1206989,5.9
mp-1206992,5.77
mp-1207057,5.94
mp-1207082,14.63
mp-1207177,6.93
mp-1207185,5.75
mp-1216635,3.9
mp-1225491,7.67
